region;period;sector;value;unit;value_pCap;unit_pCap
DEU;1990;trn_aviation_intl;99.6704534365636;billion pkm/yr;1254.7734197139;pkm/yr pCap
DEU;1990;trn_freight;571.506258275774;billion tkm/yr;7194.81889927393;tkm/yr pCap
DEU;1990;trn_pass;1111.36571014941;billion pkm/yr;13991.2291415881;pkm/yr pCap
DEU;1990;trn_shipping_intl;986.355396495329;billion tkm/yr;12417.4466076993;tkm/yr pCap
DEU;2005;trn_aviation_intl;166.332684861112;billion pkm/yr;2016.90130508144;pkm/yr pCap
DEU;2005;trn_freight;538.892181357732;billion tkm/yr;6534.44838449009;tkm/yr pCap
DEU;2005;trn_pass;1119.06308214099;billion pkm/yr;13569.4304022282;pkm/yr pCap
DEU;2005;trn_shipping_intl;981.672169561807;billion tkm/yr;11903.4685311825;tkm/yr pCap
DEU;2010;trn_aviation_intl;187.583203672452;billion pkm/yr;2293.84012914708;pkm/yr pCap
DEU;2010;trn_freight;545.961940510416;billion tkm/yr;6676.23424491989;tkm/yr pCap
DEU;2010;trn_pass;1128.27562856427;billion pkm/yr;13796.9917501705;pkm/yr pCap
DEU;2010;trn_shipping_intl;1099.03372697438;billion tkm/yr;13439.4104422162;tkm/yr pCap
DEU;2015;trn_aviation_intl;192.204763040822;billion pkm/yr;2352.95308114597;pkm/yr pCap
DEU;2015;trn_freight;572.163967040296;billion tkm/yr;7004.37880866787;tkm/yr pCap
DEU;2015;trn_pass;1165.92006907294;billion pkm/yr;14273.0865535962;pkm/yr pCap
DEU;2015;trn_shipping_intl;1108.2721029987;billion tkm/yr;13567.3654400805;tkm/yr pCap
DEU;2020;trn_aviation_intl;172.303305675274;billion pkm/yr;2071.92762176907;pkm/yr pCap
DEU;2020;trn_freight;573.584232289372;billion tkm/yr;6897.28504995302;tkm/yr pCap
DEU;2020;trn_pass;1153.8289769882;billion pkm/yr;13874.6620028571;pkm/yr pCap
DEU;2020;trn_shipping_intl;958.810455126121;billion tkm/yr;11529.5864941833;tkm/yr pCap
DEU;2025;trn_aviation_intl;175.60975764065;billion pkm/yr;2102.44755403936;pkm/yr pCap
DEU;2025;trn_freight;584.711568947809;billion tkm/yr;7000.32517821934;tkm/yr pCap
DEU;2025;trn_pass;1164.33012414084;billion pkm/yr;13939.6754171455;pkm/yr pCap
DEU;2025;trn_shipping_intl;963.002548733867;billion tkm/yr;11529.3271872868;tkm/yr pCap
DEU;2030;trn_aviation_intl;186.860957535039;billion pkm/yr;2249.86752097173;pkm/yr pCap
DEU;2030;trn_freight;619.524698612775;billion tkm/yr;7459.28157618114;tkm/yr pCap
DEU;2030;trn_pass;1170.5767020282;billion pkm/yr;14094.1293325312;pkm/yr pCap
DEU;2030;trn_shipping_intl;973.881005816578;billion tkm/yr;11725.848316212;tkm/yr pCap
DEU;2035;trn_aviation_intl;197.816348330724;billion pkm/yr;2398.87939455272;pkm/yr pCap
DEU;2035;trn_freight;653.839144429527;billion tkm/yr;7928.97687253668;tkm/yr pCap
DEU;2035;trn_pass;1175.38966146795;billion pkm/yr;14253.715950472;pkm/yr pCap
DEU;2035;trn_shipping_intl;984.856807299435;billion tkm/yr;11943.162036667;tkm/yr pCap
DEU;2040;trn_aviation_intl;209.01830612102;billion pkm/yr;2551.258031176;pkm/yr pCap
DEU;2040;trn_freight;689.510696535536;billion tkm/yr;8416.10352109315;tkm/yr pCap
DEU;2040;trn_pass;1181.59275085099;billion pkm/yr;14422.4113721529;pkm/yr pCap
DEU;2040;trn_shipping_intl;996.621943904978;billion tkm/yr;12164.6748824079;tkm/yr pCap
DEU;2045;trn_aviation_intl;219.872683298032;billion pkm/yr;2699.09305608086;pkm/yr pCap
DEU;2045;trn_freight;724.649780994807;billion tkm/yr;8895.58976875007;tkm/yr pCap
